b1,b2,b3,b4,b5,b6,b7,b8,b81,b9,b10,b11,b12,oc
0.11741,0.11907,0.16527,0.23627,0.26897,0.2941,0.31915,0.33651,0.34009,0.35686,0.45446,0.47599,0.44188,51.4
0.08281,0.0794,0.1102,0.18484,0.20389,0.21953,0.23383,0.24553,0.24986,0.27083,0.36534,0.38931,0.33698,33.3
0.11855,0.12198,0.16562,0.25627,0.2819,0.30353,0.32315,0.33373,0.33597,0.34938,0.36847,0.37454,0.38521,24.9
0.14448,0.15492,0.18945,0.22116,0.23394,0.2466,0.26345,0.2765,0.2788,0.29147,0.38115,0.40579,0.40486,26.3
0.08718,0.09219,0.12868,0.1784,0.19702,0.21375,0.23345,0.25592,0.26345,0.2882,0.38291,0.3993,0.37627,15.8
0.11405,0.12252,0.17167,0.23099,0.25159,0.26878,0.28675,0.30255,0.30683,0.32004,0.39048,0.40198,0.37818,33.4
0.12053,0.12782,0.15502,0.19262,0.20835,0.22295,0.24099,0.26327,0.27058,0.29343,0.38424,0.40458,0.37975,22.2
0.09838,0.10153,0.15535,0.22367,0.24378,0.26152,0.279,0.29094,0.29424,0.31261,0.43331,0.45856,0.41591,4.9
0.12221,0.13511,0.19797,0.26915,0.29034,0.3069,0.32374,0.3408,0.3461,0.36442,0.44525,0.46709,0.46004,3.8
0.13256,0.13737,0.17254,0.21802,0.23741,0.25462,0.27346,0.29343,0.29992,0.32063,0.40439,0.42286,0.41524,64.2
0.1074,0.11143,0.15751,0.23083,0.25003,0.26718,0.28582,0.30718,0.31499,0.34285,0.46634,0.49556,0.44596,14.0
0.11293,0.1113,0.15321,0.23099,0.27227,0.30381,0.33243,0.35514,0.36099,0.38045,0.47076,0.47984,0.42884,85.3
0.15809,0.17167,0.22491,0.27836,0.29751,0.3142,0.33274,0.3518,0.3576,0.37749,0.46259,0.48384,0.45144,25.5
0.08279,0.08478,0.09995,0.12482,0.13662,0.14743,0.16088,0.17844,0.18454,0.2024,0.2753,0.29539,0.30697,45.5
0.07876,0.07825,0.09059,0.11655,0.1302,0.14332,0.16018,0.18315,0.19151,0.21592,0.29902,0.3147,0.31297,91.5
0.13192,0.13861,0.20578,0.27861,0.30082,0.31982,0.33994,0.3562,0.36041,0.38036,0.49397,0.52372,0.45102,8.4
0.10351,0.11023,0.15729,0.22511,0.2494,0.27046,0.2941,0.31857,0.32614,0.34995,0.43371,0.45238,0.44208,16.5
0.10624,0.11314,0.17014,0.2498,0.27523,0.29737,0.32048,0.33955,0.34475,0.36526,0.46946,0.49181,0.44086,15.8
0.16719,0.17861,0.22803,0.28229,0.30479,0.32531,0.34898,0.37532,0.38371,0.41181,0.52723,0.55616,0.51796,8.3
0.13842,0.14777,0.19539,0.26242,0.28662,0.30556,0.32449,0.34245,0.34778,0.36116,0.42609,0.43944,0.43742,32.0
0.14969,0.16066,0.23083,0.31017,0.33674,0.359,0.38388,0.40551,0.40992,0.42983,0.56676,0.61052,0.544,9.5
0.10857,0.11223,0.15736,0.22413,0.24615,0.26601,0.28827,0.3101,0.31696,0.34364,0.4761,0.50664,0.44988,36.8
0.13104,0.14171,0.18659,0.24044,0.25984,0.27606,0.29376,0.31096,0.31586,0.33289,0.4043,0.42364,0.4187,10.6
