b1,b2,b3,b4,b5,b6,b7,b8,b81,b9,b10,b11,b12,oc
0.12945,0.13699,0.16904,0.20874,0.22522,0.24049,0.25864,0.27708,0.28223,0.2993,0.38931,0.40813,0.39464,63.3
0.07444,0.07463,0.09698,0.13721,0.15838,0.17775,0.20082,0.22851,0.23741,0.26327,0.35752,0.37222,0.34802,96.7
0.10479,0.11122,0.14801,0.19231,0.20965,0.22475,0.24127,0.2568,0.2611,0.27574,0.3465,0.359,0.34127,48.9
0.11361,0.12061,0.14959,0.19059,0.2073,0.22213,0.23922,0.25639,0.26128,0.27778,0.36208,0.38699,0.38994,51.7
0.13477,0.14521,0.20226,0.26522,0.28681,0.30451,0.3227,0.33612,0.33884,0.3514,0.42609,0.44463,0.42267,29.4
0.12391,0.13456,0.17779,0.22667,0.24536,0.26188,0.28093,0.29992,0.30493,0.31901,0.38424,0.40087,0.38619,37.3
0.10661,0.11463,0.15325,0.19485,0.21193,0.22714,0.24536,0.26424,0.2694,0.28268,0.34995,0.36534,0.33304,74.6
0.09689,0.10411,0.14625,0.20436,0.22756,0.2453,0.26333,0.28054,0.28576,0.3029,0.39274,0.4086,0.38335,55.9
0.12514,0.13354,0.18176,0.24649,0.26946,0.28827,0.30627,0.31937,0.32255,0.33427,0.37265,0.38089,0.3672,28.8
0.10046,0.10664,0.14575,0.19364,0.21296,0.22999,0.24843,0.26522,0.26959,0.28432,0.35942,0.37792,0.35711,42.7
0.14332,0.15007,0.19454,0.25188,0.27574,0.29567,0.31594,0.33504,0.34049,0.35867,0.42964,0.44127,0.41562,67.8
0.0987,0.09988,0.12359,0.17041,0.19683,0.21918,0.24199,0.26206,0.2673,0.28229,0.35653,0.36728,0.34214,108.2
0.11363,0.12153,0.17374,0.23469,0.25627,0.27403,0.29181,0.3074,0.31182,0.32719,0.40077,0.414,0.39084,37
0.105,0.11205,0.15219,0.1987,0.21657,0.23201,0.24866,0.26509,0.2699,0.28569,0.37,0.38967,0.37757,55
0.13268,0.1397,0.18014,0.23163,0.25171,0.26742,0.2834,0.29696,0.30026,0.31167,0.36534,0.38045,0.37334,31.1
0.10188,0.10414,0.13032,0.16939,0.18685,0.20017,0.2133,0.22568,0.2294,0.24132,0.30269,0.31196,0.29635,70.6
0.12212,0.12526,0.16432,0.21782,0.24233,0.26303,0.28373,0.30068,0.30451,0.31791,0.38177,0.3921,0.35876,71.5
0.09658,0.0989,0.11992,0.15336,0.16967,0.18505,0.20347,0.22336,0.2293,0.24803,0.31645,0.33045,0.32055,128
0.07887,0.07741,0.08995,0.11727,0.13348,0.14952,0.16971,0.19602,0.20516,0.23094,0.31703,0.32696,0.30367,259.9
0.13326,0.14194,0.18993,0.24384,0.26497,0.28223,0.30026,0.31441,0.31761,0.33029,0.414,0.43212,0.40253,19.7
0.13122,0.1396,0.18488,0.24401,0.2662,0.2832,0.29978,0.31333,0.31674,0.3281,0.39355,0.40682,0.38353,57.4
0.06687,0.06285,0.07068,0.09874,0.11698,0.13571,0.15959,0.19059,0.20119,0.22988,0.31182,0.31952,0.29329,328
0.10368,0.10588,0.13086,0.17599,0.19925,0.22034,0.24389,0.26934,0.2772,0.2984,0.35473,0.35506,0.321,146.2
0.09093,0.09028,0.10849,0.14521,0.16565,0.18523,0.20912,0.2384,0.24826,0.27555,0.37497,0.38869,0.3595,135.9
0.13406,0.139,0.17824,0.23977,0.26767,0.29047,0.3134,0.33527,0.34159,0.35826,0.41687,0.42316,0.39829,89.9
0.12604,0.12838,0.14825,0.19099,0.21306,0.23324,0.25692,0.28589,0.29567,0.32226,0.41697,0.43571,0.44066,163.9
0.11973,0.12569,0.16699,0.21984,0.23768,0.25299,0.26909,0.28425,0.28867,0.30311,0.37231,0.38318,0.36016,47.2
0.08586,0.08393,0.09899,0.13259,0.15212,0.17163,0.19593,0.22584,0.23578,0.26406,0.37265,0.38628,0.3408,153.1
0.05456,0.05373,0.06942,0.10148,0.1191,0.13577,0.15592,0.18109,0.18985,0.21602,0.32196,0.3335,0.29383,166.6
0.12726,0.13332,0.17203,0.23025,0.25521,0.27517,0.29628,0.3163,0.32188,0.33963,0.41937,0.42924,0.39518,40.3
0.11056,0.11487,0.14873,0.21188,0.24066,0.26589,0.29363,0.32211,0.33052,0.35392,0.43212,0.43591,0.39719,80.1
0.15718,0.16807,0.24244,0.32757,0.35843,0.38353,0.40747,0.42697,0.43241,0.45051,0.5522,0.56481,0.52119,39.4
0.06894,0.06994,0.08368,0.11337,0.12924,0.14494,0.16512,0.19055,0.19907,0.22372,0.31383,0.3309,0.31441,146.5
0.11665,0.11998,0.1406,0.17721,0.194,0.20946,0.22788,0.25067,0.25852,0.28164,0.37506,0.39719,0.40635,161.7
0.1212,0.12337,0.14876,0.19346,0.21672,0.23906,0.26607,0.29902,0.31003,0.34088,0.44833,0.46068,0.42209,120.6
0.11921,0.12508,0.17266,0.23994,0.26516,0.28576,0.30711,0.32681,0.33266,0.3527,0.44771,0.45551,0.40926,47.9
0.05988,0.05955,0.07224,0.09961,0.11652,0.13351,0.15552,0.1842,0.19409,0.22197,0.31103,0.32689,0.31218,126.5
0.13621,0.14555,0.19143,0.24536,0.26644,0.28366,0.30179,0.31886,0.32374,0.33939,0.40607,0.4141,0.38779,77.9
0.07081,0.06633,0.07499,0.10917,0.13059,0.15184,0.17799,0.21047,0.22126,0.24957,0.3434,0.35164,0.31182,388.3
0.04695,0.04538,0.05275,0.07711,0.09277,0.10844,0.1285,0.15428,0.16304,0.18612,0.24729,0.25604,0.25148,286.8
0.13665,0.14585,0.2085,0.29208,0.32344,0.3461,0.36694,0.38212,0.3853,0.39683,0.4815,0.49636,0.46473,30.1
0.1061,0.10942,0.1332,0.16866,0.18497,0.19985,0.21712,0.23578,0.24155,0.25906,0.33266,0.34642,0.33713,64.7
0.09101,0.09087,0.09867,0.11698,0.12809,0.13903,0.15234,0.16819,0.17334,0.18599,0.21622,0.21817,0.21072,291.3
0.1305,0.14012,0.17931,0.22213,0.23774,0.24929,0.26002,0.26626,0.26718,0.27252,0.30186,0.30346,0.28451,46.9
0.10899,0.11771,0.15791,0.1998,0.21553,0.22914,0.24417,0.25657,0.25924,0.2699,0.32599,0.33427,0.31456,34.2
0.1162,0.12325,0.15624,0.18832,0.19838,0.20625,0.21365,0.21918,0.22044,0.22382,0.23823,0.23518,0.22167,33.6
0.11932,0.12439,0.16007,0.20616,0.22367,0.23884,0.25451,0.26792,0.27152,0.28281,0.33884,0.34427,0.32832,34.3
0.1102,0.11392,0.13887,0.17636,0.19485,0.21145,0.23025,0.25055,0.25692,0.27561,0.34049,0.34746,0.32772,140.8
0.07138,0.07264,0.09122,0.1272,0.14699,0.16463,0.18306,0.20072,0.2054,0.21782,0.25728,0.26357,0.25609,146.9
0.14048,0.15424,0.21697,0.2654,0.27682,0.28425,0.28947,0.29147,0.29161,0.29228,0.30409,0.2995,0.28158,20.5
0.17968,0.18433,0.2074,0.25734,0.28119,0.30206,0.32479,0.34914,0.35612,0.37618,0.42954,0.43883,0.41106,127.4
0.12059,0.13008,0.16558,0.20559,0.2207,0.23361,0.24769,0.25954,0.26194,0.27108,0.32315,0.33527,0.32651,35.1
0.05271,0.04789,0.05133,0.07406,0.08966,0.1058,0.12615,0.15136,0.15951,0.18197,0.25044,0.26278,0.249,399.2
0.12448,0.13192,0.17898,0.23768,0.26146,0.28061,0.2995,0.31608,0.32055,0.33358,0.38761,0.394,0.37145,62.7
0.04967,0.04829,0.06153,0.09131,0.10874,0.12526,0.14391,0.16463,0.17136,0.18958,0.25165,0.25978,0.24412,206
0.14585,0.15417,0.18985,0.23458,0.25533,0.2746,0.29737,0.32092,0.32757,0.3473,0.42462,0.43702,0.41419,58.1
0.14025,0.15087,0.1881,0.22699,0.24238,0.2558,0.27046,0.28281,0.28569,0.29655,0.354,0.36678,0.35711,39.4
0.11301,0.1169,0.15042,0.19852,0.22218,0.24094,0.25829,0.27108,0.27391,0.2851,0.33098,0.33806,0.31586,58
0.11366,0.11717,0.14962,0.19847,0.22065,0.24016,0.26194,0.28268,0.28827,0.3062,0.37437,0.38663,0.34762,69.3
0.08356,0.08428,0.10233,0.13687,0.15481,0.17159,0.19138,0.21419,0.22121,0.24044,0.31615,0.33235,0.33167,139.4
0.09049,0.09322,0.10794,0.12712,0.13543,0.14279,0.15153,0.16181,0.16527,0.17771,0.2453,0.27146,0.29499,116.8
0.10962,0.11115,0.13268,0.17478,0.19702,0.21767,0.24005,0.2611,0.26687,0.28642,0.3461,0.35612,0.33916,72.2
