b1,b2,b3,b4,b5,b6,b7,b8,b81,b9,b10,b11,b12,oc
0.12604,0.12744,0.15959,0.24166,0.26546,0.2851,0.29964,0.30803,0.31153,0.3342,0.38388,0.39201,0.37688,32.6
0.0847,0.08748,0.11231,0.14682,0.16092,0.17306,0.18651,0.19948,0.20296,0.21385,0.27714,0.29007,0.27669,54.3
0.12073,0.13137,0.17828,0.23073,0.24843,0.26266,0.27695,0.28741,0.28967,0.29985,0.36686,0.37836,0.354,33.7
0.12137,0.12859,0.16274,0.20202,0.21677,0.22919,0.24221,0.2527,0.25504,0.26546,0.31391,0.32419,0.30996,38.2
0.14478,0.15992,0.21767,0.25852,0.26823,0.27485,0.28016,0.28009,0.279,0.2808,0.31492,0.31732,0.28933,6.4
0.11353,0.11967,0.15933,0.20773,0.22667,0.2416,0.25651,0.26934,0.2724,0.28242,0.34206,0.35278,0.33381,36.4
0.12865,0.13652,0.18336,0.24027,0.2643,0.28262,0.29916,0.30903,0.31067,0.32077,0.37497,0.38459,0.36141,44.4
0.12325,0.12906,0.15143,0.18634,0.2037,0.21928,0.23637,0.252,0.25598,0.26928,0.3069,0.31347,0.29964,84.5
0.09725,0.10044,0.12832,0.15675,0.16804,0.17816,0.18884,0.19907,0.20207,0.21111,0.24479,0.24524,0.23329,68.8
0.12717,0.13611,0.17612,0.22336,0.23812,0.25032,0.26188,0.26835,0.26934,0.2772,0.31167,0.31725,0.30019,29.9
0.11989,0.12563,0.16308,0.21321,0.23594,0.25545,0.27568,0.29349,0.29833,0.31391,0.37497,0.38194,0.3473,83.3
0.13237,0.14246,0.1992,0.26786,0.29343,0.31275,0.33113,0.34411,0.34706,0.36074,0.42776,0.43742,0.39967,70.7
0.13068,0.13836,0.17918,0.23185,0.25258,0.2686,0.28432,0.29641,0.2993,0.31254,0.37862,0.39066,0.36501,63.6
0.09053,0.09526,0.12791,0.17664,0.1944,0.20985,0.22636,0.23999,0.24339,0.25686,0.329,0.34229,0.32931,41.6
0.16323,0.17571,0.22772,0.28425,0.30409,0.32011,0.33628,0.34706,0.34906,0.36166,0.42491,0.43762,0.39921,37.6
0.18599,0.20022,0.25457,0.32382,0.35051,0.37085,0.39183,0.40766,0.41096,0.42737,0.52155,0.55424,0.49716,10.3
0.14148,0.15279,0.20521,0.25421,0.26767,0.28035,0.29717,0.30339,0.3022,0.31282,0.45165,0.51547,0.54163,18
0.14514,0.16029,0.20263,0.23437,0.24474,0.25627,0.2724,0.28009,0.27977,0.29,0.41153,0.45625,0.46366,26.5
0.09341,0.09929,0.13989,0.19387,0.21081,0.22387,0.23561,0.24446,0.24677,0.25627,0.31311,0.3227,0.3106,47.1
0.11282,0.12014,0.15893,0.20077,0.21518,0.2272,0.24082,0.24946,0.25055,0.26008,0.36074,0.38824,0.38931,23.9
0.15272,0.16088,0.21081,0.28973,0.31485,0.33566,0.34938,0.35099,0.35188,0.3694,0.38583,0.38468,0.3694,25
0.15802,0.1699,0.24194,0.31182,0.33281,0.35011,0.36627,0.37679,0.37905,0.39201,0.47174,0.4882,0.46366,27.8
0.12791,0.13155,0.15585,0.19948,0.22162,0.24121,0.26333,0.28767,0.29526,0.31827,0.38744,0.40031,0.3894,157.5
0.16233,0.17314,0.22558,0.2937,0.32092,0.3434,0.36762,0.39048,0.39683,0.41725,0.49545,0.51027,0.4783,61.1
0.12474,0.123,0.15205,0.24055,0.27196,0.29868,0.31637,0.32367,0.32704,0.35245,0.3672,0.36652,0.35099,42.3
0.12723,0.13518,0.18184,0.24288,0.26866,0.28953,0.3096,0.32516,0.329,0.34419,0.4029,0.40983,0.37844,90.7
0.10469,0.10775,0.14969,0.21468,0.24105,0.26327,0.2853,0.30549,0.3116,0.33075,0.39774,0.39537,0.3527,89.2
0.23556,0.25621,0.30634,0.34674,0.35934,0.36932,0.37975,0.3869,0.38842,0.39464,0.43192,0.43803,0.41995,27.7
0.0562,0.05545,0.06783,0.09734,0.11408,0.13008,0.15031,0.17701,0.18638,0.21198,0.28973,0.29847,0.27015,218.7
0.06366,0.06056,0.06696,0.0898,0.10459,0.12001,0.13973,0.16466,0.1729,0.19548,0.24769,0.25404,0.23736,385.5
0.10466,0.11324,0.17151,0.23757,0.26032,0.27631,0.28993,0.29923,0.3013,0.30974,0.37497,0.383,0.35261,54.3
0.09638,0.10233,0.14174,0.19182,0.21179,0.22935,0.24917,0.26773,0.2724,0.28741,0.37077,0.38663,0.36066,31.8
0.1353,0.14887,0.19329,0.23988,0.25686,0.2704,0.28366,0.29363,0.29573,0.30409,0.35645,0.36484,0.33884,53
0.15628,0.1699,0.24038,0.29868,0.31376,0.32561,0.3362,0.34041,0.34064,0.34586,0.38681,0.39093,0.36991,24.2
0.10209,0.10471,0.13791,0.18754,0.21047,0.22977,0.25026,0.27033,0.27631,0.29492,0.36467,0.36991,0.33404,73.4
0.11703,0.12677,0.16417,0.19829,0.21067,0.22182,0.23442,0.24333,0.24468,0.2513,0.31081,0.32636,0.3111,17.5
0.11212,0.11566,0.16432,0.23621,0.26479,0.28893,0.31268,0.33052,0.33504,0.35392,0.45888,0.47468,0.41248,45.1
0.16448,0.18403,0.27492,0.35859,0.3808,0.39728,0.41191,0.41879,0.41976,0.43152,0.5013,0.51039,0.46741,25.2
0.09311,0.09736,0.1254,0.15321,0.15805,0.16099,0.16226,0.16125,0.16069,0.15933,0.1551,0.14873,0.13446,27.6
0.09856,0.09947,0.12291,0.16162,0.18327,0.20286,0.22341,0.24356,0.24957,0.26712,0.32344,0.32779,0.29751,95.1
0.11036,0.1145,0.14612,0.18387,0.20022,0.21468,0.23057,0.24558,0.24975,0.26363,0.32426,0.33551,0.32456,49.9
0.13246,0.14096,0.1872,0.24021,0.25829,0.27246,0.28576,0.29635,0.29923,0.30967,0.36,0.36966,0.35884,41.9
0.0955,0.09927,0.12806,0.17771,0.20305,0.22408,0.24502,0.26485,0.27008,0.28373,0.3322,0.33986,0.32114,75.7
0.09022,0.0951,0.13228,0.1845,0.20602,0.22522,0.24649,0.26718,0.27271,0.28953,0.37282,0.39111,0.36694,42.1
0.09895,0.10498,0.14655,0.2016,0.22218,0.23988,0.25924,0.27797,0.28294,0.29806,0.37566,0.39066,0.37644,33.4
0.10807,0.11825,0.18429,0.24717,0.26891,0.28615,0.30255,0.31318,0.31499,0.3233,0.3706,0.3706,0.3352,43.4
0.09066,0.09012,0.11497,0.16592,0.19226,0.21587,0.24171,0.26853,0.27682,0.30241,0.38887,0.39701,0.35367,173.2
0.13996,0.1516,0.2045,0.25592,0.27283,0.28609,0.29847,0.30591,0.30733,0.31645,0.36821,0.37818,0.36283,31.4
0.10849,0.117,0.17163,0.23335,0.25627,0.27568,0.29594,0.31405,0.31864,0.33358,0.4161,0.43212,0.4103,26.1
0.10375,0.11636,0.16421,0.19284,0.19765,0.201,0.20361,0.20347,0.20263,0.20077,0.2037,0.19925,0.18694,17.4
0.12642,0.13381,0.21096,0.28497,0.30917,0.33014,0.34754,0.35221,0.35188,0.36041,0.44392,0.45279,0.42286,28.6
0.11598,0.12184,0.16493,0.21963,0.23999,0.25668,0.27403,0.28987,0.29458,0.3111,0.39111,0.40133,0.37162,52.1
0.10995,0.11569,0.16263,0.22714,0.24889,0.26552,0.28113,0.29275,0.2958,0.30613,0.35801,0.36025,0.33052,21.5
0.13077,0.14269,0.20907,0.24998,0.25888,0.26552,0.27077,0.27033,0.26922,0.26928,0.28576,0.2836,0.27002,16.8
0.1009,0.10435,0.13456,0.18382,0.21009,0.23052,0.24986,0.26767,0.27246,0.2853,0.33228,0.34159,0.33335,78.5
0.08931,0.09607,0.13131,0.17989,0.19747,0.21159,0.22615,0.23895,0.24182,0.25113,0.30283,0.31261,0.3004,79.1
0.08318,0.08929,0.11951,0.16207,0.17906,0.19253,0.20621,0.21772,0.22044,0.22814,0.26406,0.27083,0.26321,64.5
0.12397,0.1353,0.19169,0.24866,0.27033,0.28907,0.30996,0.33007,0.33504,0.35043,0.43732,0.45635,0.42619,45.6
0.12557,0.13533,0.17828,0.21577,0.22678,0.23464,0.2416,0.24513,0.24547,0.24894,0.26675,0.26736,0.25073,57.1
0.10266,0.11033,0.14325,0.17726,0.18668,0.19431,0.2024,0.20835,0.2096,0.21553,0.24389,0.24774,0.24099,30.3
0.13183,0.13425,0.15474,0.19593,0.21913,0.24094,0.26473,0.29013,0.29765,0.31974,0.38878,0.40235,0.38045,111.3
0.10268,0.10777,0.13855,0.18497,0.20592,0.22315,0.24027,0.25645,0.26062,0.27183,0.31967,0.32893,0.30367,55.5
0.09122,0.09652,0.12656,0.16081,0.171,0.17906,0.18685,0.19226,0.19346,0.19811,0.22228,0.22223,0.21038,47
0.13646,0.14689,0.18026,0.21052,0.22491,0.2395,0.26002,0.27542,0.27714,0.29027,0.4141,0.45983,0.47566,52.4
0.13655,0.14431,0.18022,0.22709,0.24649,0.26254,0.28022,0.29641,0.30082,0.31893,0.41505,0.44289,0.43341,56.5
0.14227,0.15374,0.20735,0.27089,0.29343,0.31311,0.33535,0.35703,0.36283,0.38194,0.47304,0.49329,0.4844,47
0.10214,0.10617,0.1375,0.1872,0.21014,0.23067,0.25369,0.27714,0.28392,0.30465,0.38335,0.40041,0.38388,83.5
0.13107,0.13807,0.18018,0.23464,0.25568,0.2729,0.29188,0.31167,0.31776,0.33799,0.42796,0.44607,0.42034,38.7
0.06776,0.06687,0.08069,0.11026,0.12912,0.14825,0.17029,0.19431,0.20174,0.22182,0.27587,0.28347,0.26742,153.5
0.06831,0.06838,0.0861,0.13083,0.1547,0.17559,0.19706,0.21943,0.22626,0.24227,0.28184,0.28327,0.25657,174.7
0.08968,0.09034,0.11046,0.14595,0.16398,0.18068,0.19962,0.22004,0.22631,0.24536,0.31282,0.32218,0.29826,329.8
0.11625,0.12031,0.16455,0.21014,0.23052,0.2474,0.26224,0.27271,0.27542,0.28615,0.34324,0.35132,0.32629,77.3
0.10009,0.10607,0.13871,0.18514,0.20399,0.21979,0.23676,0.25229,0.25657,0.27071,0.33105,0.3438,0.3281,33.3
0.12978,0.14067,0.19178,0.2534,0.27682,0.29641,0.31681,0.33396,0.33822,0.35286,0.42374,0.44035,0.41629,24.7
0.12552,0.13253,0.17195,0.22398,0.24541,0.26242,0.2797,0.29669,0.30165,0.31681,0.37897,0.39346,0.37844,45.6
0.11395,0.1252,0.17939,0.23676,0.25568,0.27139,0.28827,0.30283,0.30662,0.32085,0.39555,0.41229,0.38931,19.8
0.10688,0.11849,0.16653,0.21963,0.23867,0.25421,0.27071,0.28399,0.28695,0.29737,0.36408,0.38406,0.36906,14.1
0.16252,0.17278,0.21135,0.25781,0.27759,0.29499,0.3147,0.33128,0.33512,0.35156,0.42472,0.44586,0.41467,40.2
0.08449,0.08373,0.09583,0.12056,0.13496,0.15021,0.17092,0.19916,0.20912,0.23823,0.32055,0.33197,0.31268,265
0.19249,0.20184,0.24677,0.31167,0.33667,0.35424,0.37085,0.38539,0.38922,0.39958,0.44627,0.45061,0.41257,78.1
0.11773,0.12747,0.17274,0.23329,0.25498,0.27271,0.29107,0.30584,0.30939,0.32144,0.38424,0.39655,0.36559,33.6
0.04355,0.0419,0.05372,0.08517,0.10394,0.12314,0.14548,0.1712,0.1796,0.20109,0.25829,0.26333,0.24138,332.6
0.09358,0.09393,0.11033,0.14099,0.1597,0.17709,0.19652,0.21712,0.22336,0.23966,0.2886,0.29492,0.28177,150.9
0.12151,0.1288,0.18109,0.24044,0.26038,0.27778,0.29621,0.31196,0.31608,0.33121,0.40013,0.4139,0.38815,44.1
0.17402,0.19147,0.28867,0.36821,0.39165,0.40935,0.42599,0.43571,0.43621,0.44127,0.51487,0.53297,0.45061,17.3
0.16237,0.18097,0.23243,0.28987,0.31017,0.32727,0.3465,0.36358,0.36779,0.38212,0.44792,0.46345,0.44249,21
0.15382,0.17002,0.21999,0.27008,0.28728,0.302,0.31835,0.33274,0.33636,0.34898,0.40682,0.41947,0.39994,17.2
0.10418,0.1058,0.12531,0.15513,0.16939,0.18273,0.19847,0.21483,0.21953,0.23453,0.29194,0.30137,0.29127,53.9
0.09395,0.09703,0.13662,0.1948,0.21832,0.23757,0.25568,0.26946,0.27277,0.28451,0.35229,0.35909,0.32711,45.2
0.09775,0.10259,0.14434,0.18954,0.20361,0.21518,0.22688,0.23561,0.23763,0.2466,0.2941,0.30109,0.28629,45.6
0.08539,0.0842,0.09515,0.12112,0.13718,0.15357,0.17519,0.20422,0.21459,0.24547,0.34858,0.36796,0.35432,303.6
0.11094,0.12117,0.1818,0.24621,0.26632,0.28294,0.29992,0.31304,0.3163,0.32885,0.39838,0.41476,0.3971,23.2
0.13823,0.14794,0.18685,0.22527,0.23719,0.24587,0.25369,0.25852,0.25936,0.26394,0.28275,0.28609,0.27945,31.5
0.14381,0.1611,0.2137,0.2623,0.27913,0.29295,0.30768,0.32004,0.323,0.33396,0.38842,0.40059,0.3853,22.6
0.10799,0.11671,0.15272,0.18923,0.20361,0.21707,0.23308,0.24774,0.25102,0.2623,0.33412,0.35172,0.33489,33.5
0.12193,0.13056,0.17595,0.2262,0.24378,0.25775,0.27177,0.28236,0.28484,0.29478,0.34634,0.35172,0.32704,40
0.13425,0.14191,0.18231,0.2379,0.25834,0.27618,0.29478,0.31067,0.31499,0.3309,0.39418,0.40766,0.39573,54.1
0.16066,0.17002,0.21923,0.28236,0.3057,0.32727,0.35164,0.37162,0.37584,0.39021,0.47141,0.48944,0.44116,33.2
0.09829,0.10486,0.15139,0.21419,0.23895,0.25834,0.27765,0.29437,0.29881,0.31398,0.39546,0.41572,0.3767,43.4
0.08283,0.0847,0.10273,0.13868,0.15944,0.17853,0.19976,0.22243,0.22925,0.24592,0.29275,0.30116,0.2832,165.4
0.07411,0.07771,0.10337,0.13518,0.14774,0.15867,0.17041,0.18126,0.18416,0.19324,0.23884,0.24558,0.2334,45.1
0.08373,0.08375,0.10076,0.13611,0.15845,0.17898,0.20086,0.22295,0.22951,0.24729,0.29628,0.30549,0.2993,97
0.11893,0.1228,0.16417,0.2273,0.25704,0.28158,0.3062,0.32651,0.33167,0.34946,0.43162,0.4434,0.38869,76.7
0.12179,0.13134,0.16834,0.21508,0.23632,0.25474,0.27511,0.29444,0.29964,0.31536,0.37862,0.39183,0.37008,37.7
0.14223,0.14575,0.17144,0.21355,0.23599,0.25686,0.28106,0.30818,0.31681,0.34222,0.43571,0.45082,0.43331,73.1
0.09059,0.09124,0.12841,0.18897,0.21316,0.23276,0.25241,0.2704,0.2758,0.29451,0.38539,0.39976,0.36991,103.2
0.11259,0.11725,0.14498,0.18707,0.20725,0.22392,0.23983,0.25281,0.25615,0.26589,0.30172,0.30648,0.29437,88.6
0.10742,0.11588,0.16327,0.22197,0.24378,0.26098,0.27893,0.2939,0.29751,0.31038,0.38851,0.41248,0.38415,24.3
0.09609,0.09656,0.11187,0.14511,0.16327,0.18097,0.20244,0.2262,0.23335,0.25545,0.33651,0.35752,0.34594,174.4
0.14048,0.15399,0.20864,0.25486,0.26761,0.27925,0.29349,0.30012,0.29992,0.30697,0.38949,0.40917,0.39893,24.9
0.11169,0.12045,0.18273,0.25674,0.28262,0.30227,0.32107,0.3332,0.33512,0.34387,0.42678,0.45269,0.39847,23.5
0.10488,0.10899,0.14178,0.18668,0.20512,0.22167,0.24094,0.26074,0.26669,0.28688,0.38028,0.40124,0.38318,80.8
0.11405,0.12269,0.17418,0.24027,0.26607,0.28695,0.30882,0.32674,0.33083,0.34506,0.42131,0.44157,0.40973,28.4
0.14622,0.15776,0.20592,0.26503,0.28754,0.3074,0.3306,0.35563,0.36233,0.38142,0.49329,0.52541,0.51749,68.7
0.0859,0.086,0.10932,0.15304,0.17354,0.19165,0.21111,0.23131,0.23774,0.25817,0.34159,0.35637,0.32923,146.3
0.12773,0.13763,0.20417,0.28432,0.30974,0.32984,0.34858,0.36016,0.36224,0.37463,0.44147,0.4503,0.40926,52
0.11708,0.12838,0.19028,0.26014,0.28392,0.30193,0.32018,0.33343,0.33581,0.34475,0.41572,0.43833,0.42005,13.5
0.07381,0.07582,0.0997,0.14171,0.16114,0.17956,0.20202,0.22772,0.23567,0.25793,0.32908,0.34143,0.32426,80
0.12767,0.13977,0.19916,0.27008,0.29607,0.31666,0.33768,0.35343,0.35653,0.36864,0.44005,0.45973,0.43571,20.9
0.10664,0.11241,0.1574,0.22641,0.25829,0.28132,0.30276,0.32085,0.32561,0.3376,0.39637,0.40945,0.38761,77.1
0.1205,0.12644,0.16312,0.21365,0.23616,0.25492,0.27454,0.29121,0.29532,0.31067,0.36728,0.37454,0.33589,62.6
0.10852,0.11215,0.14398,0.19706,0.22331,0.24706,0.27302,0.29881,0.30627,0.32757,0.40004,0.40785,0.37342,131.6
0.13807,0.14696,0.22014,0.31456,0.34332,0.36484,0.38177,0.39066,0.39255,0.40114,0.46323,0.46441,0.41505,36.5
0.15823,0.17195,0.23862,0.30818,0.33083,0.34954,0.36881,0.38468,0.38869,0.40281,0.48018,0.49694,0.47065,18.4
0.13677,0.15269,0.20792,0.26841,0.29,0.30875,0.33045,0.35099,0.35629,0.37359,0.45835,0.47874,0.45352,15.8
0.09447,0.09495,0.11487,0.15542,0.17824,0.20008,0.22537,0.25229,0.26032,0.28307,0.36025,0.37213,0.33814,112.1
0.11238,0.11668,0.15747,0.21326,0.23594,0.25421,0.27152,0.2832,0.28589,0.29813,0.36754,0.37783,0.34411,42.4
0.08346,0.08343,0.09988,0.13366,0.15343,0.17144,0.1905,0.20946,0.21498,0.2293,0.26522,0.26442,0.24049,142.7
0.14067,0.15241,0.22187,0.29614,0.32359,0.34451,0.36392,0.37818,0.38115,0.39138,0.45321,0.46238,0.42073,24.3
0.13747,0.15167,0.21218,0.27606,0.29641,0.31369,0.33228,0.34706,0.35051,0.36392,0.42894,0.44269,0.42511,15.9
0.10757,0.11374,0.15733,0.22423,0.25392,0.27804,0.30346,0.32629,0.33189,0.3489,0.43561,0.46185,0.43162,37.1
0.11973,0.12756,0.18793,0.26242,0.28556,0.30402,0.32122,0.33389,0.33729,0.3531,0.43501,0.4474,0.40841,58.7
0.11176,0.11652,0.15258,0.20202,0.22331,0.23972,0.2558,0.26977,0.27378,0.28695,0.34802,0.35555,0.32931,64.5
0.1489,0.16554,0.25668,0.34578,0.37213,0.39437,0.41716,0.43222,0.43521,0.44875,0.52493,0.53889,0.49774,13.9
0.12306,0.13605,0.18348,0.22636,0.239,0.24986,0.26188,0.27133,0.27359,0.28301,0.33327,0.34332,0.33443,22.7
0.11601,0.12797,0.18105,0.22909,0.24457,0.25805,0.2729,0.28418,0.28668,0.2973,0.34786,0.35571,0.34198,12.5
0.14918,0.16214,0.24049,0.31901,0.34324,0.36358,0.38433,0.39847,0.40133,0.4139,0.49568,0.51227,0.47731,13.8
0.10678,0.11564,0.15992,0.21247,0.23276,0.25044,0.2699,0.28761,0.29228,0.30853,0.38362,0.39967,0.37188,33.7
0.10975,0.11497,0.14581,0.18433,0.20049,0.21335,0.22532,0.2348,0.2373,0.24564,0.27549,0.27593,0.2605,86.4
0.13351,0.14645,0.2113,0.26705,0.28827,0.30648,0.32644,0.34546,0.35059,0.36813,0.46569,0.49046,0.45667,26.2
