c,B1,B2,B3,B4,B5,B6,B7
6.1,0.0709751,0.0769129,0.119193,0.152199,0.305844,0.290412,0.200074
6.2,0.0555544,0.0667251,0.119962,0.17208,0.306865,0.294092,0.20607
6.2,0.0545085,0.0572318,0.112925,0.148483,0.33679,0.280352,0.191058
6.2,0.055909,0.0593639,0.114334,0.13477,0.337193,0.256235,0.168186
6.2,0.0291495,0.0294065,0.0878901,0.109602,0.375873,0.327761,0.21345
6.3,0.0590203,0.0672264,0.123522,0.164903,0.315794,0.272271,0.184519
6.3,0.0538538,0.0623504,0.112237,0.161016,0.332975,0.257881,0.170655
6.3,0.0250346,0.0254214,0.0653031,0.0712126,0.283699,0.16752,0.104772
6.4,0.0494549,0.0516983,0.123717,0.129808,0.508437,0.298652,0.186962
6.4,0.00976213,0.00869051,0.0484136,0.0433073,0.390083,0.141992,0.0742862
6.5,0.0563844,0.0657113,0.123003,0.157898,0.327111,0.243779,0.163073
6.5,0.0600044,0.0665451,0.11219,0.155311,0.323195,0.258333,0.165769
6.5,0.0181074,0.0145578,0.0520331,0.0570015,0.318544,0.206623,0.125538
6.6,0.0477151,0.0545081,0.101909,0.146026,0.261329,0.293605,0.200981
6.6,0.0711522,0.08024,0.131689,0.170639,0.312656,0.309103,0.223001
6.6,0.0287089,0.0317674,0.0907629,0.117007,0.405904,0.301625,0.190369
6.7,0.0676255,0.0738677,0.128521,0.166625,0.322176,0.273552,0.184424
6.8,0.053123,0.0563725,0.109015,0.133788,0.317573,0.261436,0.168691
6.8,0.0592056,0.0643597,0.140379,0.144989,0.562746,0.250527,0.136799
7.2,0.0516452,0.0529732,0.109332,0.135978,0.320418,0.251862,0.178633
7.3,0.110506,0.117452,0.174365,0.204662,0.38427,0.365057,0.315313
7.3,0.0976782,0.106706,0.16646,0.205744,0.386903,0.383902,0.271933
7.4,0.0589735,0.0676965,0.113597,0.161616,0.296245,0.279535,0.194234
7.4,0.0480382,0.0472452,0.0960507,0.126662,0.326865,0.268158,0.192878
7.6,0.0799965,0.0793114,0.113368,0.135807,0.279837,0.321513,0.281353
7.8,0.0825912,0.0846293,0.127957,0.156351,0.294712,0.239266,0.165968
7.8,0.0364044,0.0407784,0.0988208,0.116591,0.343549,0.214313,0.132072
8,0.0872642,0.083237,0.116218,0.135447,0.296584,0.342067,0.265945
8.1,0.0711241,0.0766103,0.121756,0.15708,0.309486,0.308063,0.211997
8.1,0.0568375,0.0491267,0.0775588,0.0846301,0.241587,0.22137,0.155742
8.2,0.0344909,0.0334828,0.0724931,0.0761716,0.286025,0.179061,0.111565
8.2,0.0616592,0.0528221,0.0757863,0.0665876,0.336167,0.163274,0.107137
8.3,0.00865479,0.00599444,0.0359646,0.0240554,0.345878,0.122989,0.0613472
8.4,0.0634509,0.0655048,0.104787,0.13639,0.252112,0.238927,0.167096
8.5,0.0570832,0.067181,0.115503,0.159907,0.29623,0.230001,0.156877
8.8,0.0789032,0.0851054,0.157269,0.183025,0.41702,0.379501,0.267463
8.8,0.049764,0.0479425,0.0897435,0.0805982,0.345896,0.227685,0.147294
8.8,0.0141678,0.0107893,0.0543867,0.0278991,0.422074,0.161101,0.0688505
9,0.0504979,0.0550843,0.110272,0.126582,0.342247,0.221642,0.135107
9,0.0455238,0.0405269,0.0697364,0.0671894,0.300555,0.211964,0.141014
9,0.0520283,0.0429141,0.0761679,0.0593143,0.410007,0.18492,0.107471
9.1,0.0320608,0.0348201,0.0745305,0.0887135,0.321437,0.226041,0.13387
9.1,0.029422,0.0230869,0.055464,0.0393,0.476476,0.167216,0.0680723
9.2,0.0248892,0.0258367,0.0754789,0.079639,0.339819,0.208631,0.123254
9.3,0.0522386,0.0580019,0.115481,0.140439,0.336264,0.214679,0.135637
9.4,0.0817854,0.087411,0.157154,0.22594,0.384584,0.395229,0.308315
9.4,0.0565064,0.0631111,0.119436,0.150531,0.329833,0.227145,0.144491
9.5,0.0270211,0.0234406,0.0709175,0.0638765,0.375167,0.28232,0.166931
9.6,0.0950327,0.106684,0.142436,0.194341,0.329005,0.385114,0.264881
9.6,0.0850995,0.105173,0.175054,0.26606,0.474062,0.461071,0.283522
9.6,0.0567471,0.0589626,0.10993,0.128199,0.371768,0.329072,0.228006
9.6,0.0503629,0.0428823,0.0849605,0.0564252,0.440745,0.189172,0.106025
9.6,0.0215139,0.0191807,0.0659017,0.0463558,0.4266,0.203739,0.10221
9.7,0.0654196,0.0720714,0.11407,0.160624,0.283479,0.333015,0.21435
9.7,0.064239,0.0576374,0.0804445,0.082078,0.311461,0.159363,0.0950763
9.7,0.0396961,0.0386034,0.075646,0.0854062,0.333819,0.248136,0.14704999
9.8,0.0536376,0.0511094,0.077824,0.119257,0.203444,0.31716999,0.22820701
9.8,0.0716187,0.0758351,0.150072,0.171182,0.381097,0.37494,0.28065
9.8,0.056244,0.0496515,0.0768146,0.086891,0.252191,0.262886,0.179966
9.8,0.0474927,0.0413723,0.0985054,0.0634249,0.543798,0.134552,0.0602372
9.9,0.0688759,0.0668491,0.106091,0.136233,0.268862,0.346026,0.271583
9.9,0.0447873,0.0550164,0.104687,0.150327,0.313205,0.31247,0.197995
9.9,0.0500686,0.0549631,0.10355,0.138469,0.298516,0.277967,0.207008
9.9,0.0170678,0.0157785,0.0482902,0.0706161,0.242245,0.211882,0.144499
9.9,0.0115035,0.00631398,0.0300154,0.0182448,0.402328,0.115976,0.053334
10,0.0654044,0.0636629,0.0910237,0.117511,0.222766,0.282695,0.252789
10,0.0568557,0.0562848,0.0975407,0.120359,0.31446499,0.32107499,0.234451
10,0.0208196,0.0183129,0.0583726,0.056051,0.354998,0.189288,0.104842
10.1,0.0671084,0.0688664,0.105183,0.131453,0.28168,0.331394,0.239098
10.1,0.0295283,0.0320107,0.0686336,0.0887725,0.245846,0.27162,0.18907
10.1,0.0322933,0.0341347,0.0741919,0.0885204,0.303341,0.219544,0.129236
10.1,0.0480585,0.0470905,0.0846349,0.0867994,0.356294,0.193595,0.114916
10.1,0.0394132,0.0357363,0.0711903,0.0660005,0.319736,0.176695,0.105148
10.4,0.0729782,0.0832376,0.129177,0.178257,0.297848,0.256185,0.172949
10.4,0.0833596,0.0785558,0.113956,0.136091,0.284496,0.312353,0.247144
10.5,0.0384184,0.0451772,0.080194,0.120987,0.254525,0.257067,0.168699
10.5,0.0476499,0.0511107,0.0975745,0.12645,0.305622,0.275089,0.202001
10.5,0.0324382,0.0357454,0.0877106,0.0955843,0.342162,0.168606,0.0952177
10.6,0.0587215,0.0529583,0.0947465,0.0845489,0.36545,0.246083,0.162552
10.7,0.0838256,0.0915738,0.135803,0.18781701,0.31542099,0.325293,0.20492899
10.7,0.086583,0.117057,0.202163,0.300771,0.530158,0.490792,0.28089
10.8,0.0625874,0.0601441,0.095967,0.122671,0.239575,0.287106,0.228651
10.8,0.0397733,0.0422228,0.0809559,0.103689,0.279468,0.239539,0.169686
10.8,0.0180569,0.0100691,0.0302004,0.0140324,0.401279,0.107291,0.0471336
10.9,0.116562,0.124199,0.195235,0.229574,0.429987,0.413467,0.324126
10.9,0.0450983,0.0455894,0.0790986,0.0925306,0.205215,0.24369,0.179501
10.9,0.0519886,0.0547079,0.101687,0.109873,0.337739,0.22018,0.138421
10.9,0.034906,0.0420447,0.0854094,0.0999137,0.32971,0.27873,0.18017
11,0.079082,0.0900941,0.142668,0.186621,0.359676,0.384552,0.263388
11,0.0774098,0.0779195,0.108779,0.134346,0.320645,0.292272,0.183764
11,0.0523038,0.0574493,0.113993,0.131997,0.404387,0.296434,0.205649
11.1,0.0127931,0.0182689,0.0763632,0.14768,0.306439,0.336505,0.259003
11.1,0.0625879,0.0518889,0.0784099,0.0683079,0.356902,0.156987,0.0927089
11.2,0.0577764,0.0650992,0.119877,0.152929,0.331295,0.296872,0.19615
11.2,0.0226186,0.0165966,0.0457492,0.0376766,0.297252,0.112373,0.0578781
11.3,0.104793,0.107991,0.150935,0.197264,0.355928,0.366263,0.242312
11.3,0.043289,0.0469858,0.100758,0.122723,0.342057,0.274513,0.186886
11.3,0.046362,0.0472779,0.0944474,0.0943795,0.403759,0.239552,0.146371
11.3,0.0244768,0.0227343,0.0546499,0.0597657,0.295149,0.157938,0.0911882
11.5,0.0819265,0.0977164,0.149391,0.203493,0.350927,0.420788,0.277496
11.5,0.0548763,0.0595111,0.0973481,0.124688,0.247787,0.339005,0.241901
11.5,0.0615236,0.0627993,0.101589,0.116825,0.305535,0.292075,0.193523
11.5,0.044537,0.0450753,0.0905356,0.104001,0.372611,0.268454,0.176011
11.6,0.0684379,0.0673522,0.0949332,0.111993,0.207278,0.279426,0.217307
11.6,0.0229962,0.0214029,0.0714121,0.069161,0.3805,0.240385,0.137351
11.6,0.0630481,0.0576039,0.0930598,0.0797264,0.466971,0.245555,0.159065
11.7,0.0473175,0.0462178,0.0782053,0.0936223,0.303809,0.21523,0.14249
11.8,0.0840471,0.0938072,0.132853,0.182689,0.331945,0.39254,0.277327
11.8,0.052711,0.0563412,0.115528,0.151209,0.396273,0.303155,0.214652
11.9,0.0625609,0.0724876,0.111272,0.158508,0.276747,0.378761,0.266266
11.9,0.0673615,0.0714328,0.110856,0.151018,0.3131,0.373525,0.249985
11.9,0.0703477,0.0631578,0.0959203,0.105836,0.301841,0.317863,0.22425
11.9,0.0522014,0.0543691,0.120018,0.140326,0.452938,0.354374,0.23469
11.9,0.0323566,0.0321428,0.0760367,0.0825574,0.323397,0.212016,0.132376
12.1,0.0687275,0.0685636,0.102759,0.133908,0.325867,0.388641,0.248932
12.1,0.0487041,0.0496321,0.0954298,0.0855655,0.428269,0.213813,0.125164
12.2,0.0577326,0.0761275,0.131422,0.198052,0.360255,0.426394,0.271008
12.2,0.0482374,0.052679,0.120943,0.160001,0.350064,0.334266,0.238135
12.2,0.038693,0.0404558,0.0939182,0.102092,0.346983,0.206031,0.127013
12.3,0.0548263,0.0615722,0.112912,0.172288,0.305051,0.338378,0.255635
12.3,0.0665068,0.0593094,0.0976905,0.0986132,0.303682,0.256142,0.170621
12.3,0.0487636,0.0469466,0.0959139,0.0938856,0.369938,0.228485,0.142478
12.3,0.0273451,0.0253278,0.0614629,0.0612359,0.334707,0.193784,0.115627
12.4,0.0377841,0.0383043,0.0909548,0.114003,0.357232,0.250089,0.181974
12.5,0.122401,0.127057,0.163254,0.198542,0.382475,0.355316,0.25007
12.5,0.0842676,0.0824775,0.114798,0.128648,0.278606,0.307304,0.232656
12.5,0.0352855,0.0388537,0.0862238,0.121981,0.303162,0.286302,0.2245
12.5,0.0747122,0.0712034,0.115348,0.112138,0.383561,0.286583,0.185424
12.5,0.06347811,0.05146426,0.0767737,0.0658341,0.31245187,0.17314802,0.08340585
12.5,0.0532775,0.0494509,0.0928229,0.0945943,0.470489,0.201809,0.112902
12.5,0.0341926,0.0291769,0.0608222,0.0553063,0.316947,0.213552,0.117188
12.6,0.064462,0.0639225,0.100084,0.120813,0.256496,0.2974,0.214051
12.7,0.0545633,0.0516673,0.0787255,0.089381,0.256268,0.291656,0.190271
12.7,0.0416324,0.0387333,0.0661509,0.0600963,0.291572,0.207377,0.14817
12.8,0.0597549,0.0622253,0.118967,0.159718,0.326683,0.321927,0.247836
12.8,0.0269643,0.0241013,0.0585654,0.0671841,0.300203,0.164813,0.100582
12.8,0.0378807,0.0275238,0.0490632,0.0257801,0.413344,0.120995,0.0487321
12.9,0.0521952,0.0547495,0.0969557,0.121814,0.303538,0.241377,0.155949
12.9,0.0503642,0.0504206,0.087768,0.0976339,0.303591,0.205603,0.129426
13,0.0522481,0.0748602,0.135055,0.202531,0.378423,0.409105,0.257716
13,0.0183508,0.0281001,0.0990088,0.156092,0.329361,0.336598,0.267491
13,0.0733094,0.0780948,0.133733,0.141734,0.299907,0.323358,0.259598
13.2,0.08328,0.105325,0.17239401,0.245573,0.422335,0.46762899,0.30577201
13.2,0.0645567,0.0576492,0.0890346,0.0880607,0.232263,0.211012,0.132773
13.3,0.0754045,0.08573,0.134414,0.187596,0.333412,0.401876,0.276605
13.3,0.0752994,0.08783,0.141617,0.204782,0.364407,0.444663,0.313002
13.3,0.0869875,0.0911276,0.13998,0.164371,0.343319,0.339242,0.242483
13.4,0.034608,0.0380845,0.0806105,0.113123,0.253231,0.248134,0.186313
13.5,0.0509027,0.0533743,0.111767,0.116002,0.359514,0.213367,0.131779
13.5,0.0364829,0.0379097,0.0729437,0.0723364,0.379472,0.194617,0.104378
13.6,0.0683136,0.0727673,0.112444,0.169005,0.362212,0.291728,0.157299
13.8,0.0544138,0.0548287,0.0843483,0.105553,0.188058,0.264576,0.208943
13.8,0.0354698,0.0322864,0.0666158,0.0754782,0.29121,0.180639,0.112527
13.9,0.0684859,0.0788531,0.14167,0.23779,0.545461,0.435456,0.213977
14,0.0559505,0.062026,0.104668,0.143105,0.325387,0.361365,0.234707
14,0.0392123,0.0417598,0.090649,0.0997123,0.302956,0.247863,0.173322
14,0.0237359,0.027129,0.0751026,0.0910814,0.325036,0.260135,0.181152
14.1,0.0665094,0.0720467,0.109116,0.143708,0.320576,0.344522,0.225208
14.1,0.0771592,0.0732913,0.126193,0.13096,0.421833,0.251657,0.165909
14.2,0.0734892,0.0850807,0.13646,0.198821,0.340246,0.402075,0.262178
14.3,0.0694221,0.0768156,0.121106,0.15668,0.30084,0.366264,0.249281
14.3,0.0594729,0.0741081,0.13491,0.176319,0.343757,0.363363,0.240399
14.3,0.0159228,0.0101249,0.0408121,0.0224691,0.370092,0.122027,0.04568
14.4,0.0525493,0.0587256,0.0992994,0.129975,0.219185,0.222504,0.154215
14.4,0.0660773,0.0676694,0.103613,0.119202,0.286717,0.30317,0.207526
14.4,0.0252972,0.025237,0.0752048,0.0849739,0.291125,0.294653,0.197661
14.4,0.0574002,0.0554004,0.0943934,0.0916418,0.402128,0.251454,0.160906
14.5,0.0647078,0.0752181,0.122976,0.180605,0.306007,0.383232,0.269494
14.5,0.058134,0.0697418,0.124794,0.173404,0.306536,0.289884,0.209513
14.5,0.0118158,0.00685409,0.0268381,0.0199644,0.385491,0.0966794,0.0461909
14.6,0.0870017,0.0993393,0.162877,0.218564,0.431892,0.386841,0.260943
14.6,0.0620331,0.0753766,0.125906,0.195428,0.397404,0.3374,0.182272
14.6,0.0641089,0.0628464,0.0955413,0.114176,0.252815,0.275107,0.228923
14.6,0.0553741,0.0553393,0.103533,0.108899,0.351561,0.229095,0.143537
14.6,0.0355675,0.0278079,0.0550465,0.0382342,0.356102,0.14675,0.0793168
14.7,0.028353,0.0297622,0.0831817,0.125011,0.32421,0.328979,0.236053
14.7,0.0253279,0.0188971,0.0507283,0.0431166,0.270743,0.11129,0.0598197
14.8,0.0440817,0.0463838,0.075965,0.103957,0.288039,0.196699,0.129631
14.9,0.0570115,0.0510572,0.0878345,0.0868172,0.37359,0.176325,0.0956578
14.9,0.0266272,0.0251762,0.0722727,0.0751143,0.373519,0.260454,0.163018
15,0.048946,0.0591468,0.103133,0.147567,0.274326,0.3142,0.225023
15.1,0.0391773,0.0412486,0.0945211,0.109567,0.316858,0.216381,0.137771
15.2,0.120203,0.130392,0.187315,0.249011,0.418274,0.462721,0.315774
15.3,0.0449803,0.0513029,0.10627,0.140944,0.294583,0.33542,0.240883
15.5,0.0735153,0.0836704,0.129411,0.177637,0.325765,0.405375,0.261741
15.5,0.0327548,0.0275788,0.0632647,0.0493907,0.439473,0.138686,0.0658021
15.8,0.0704254,0.0873941,0.1445,0.211989,0.366419,0.417757,0.278662
15.8,0.0274759,0.0194261,0.0370073,0.0251221,0.325339,0.1274,0.064607
16,0.0355068,0.0373335,0.0958697,0.116492,0.399112,0.306093,0.193996
16,0.0274028,0.0248958,0.0612619,0.0453046,0.417493,0.20228,0.104835
16.2,0.0767708,0.088509,0.137677,0.181006,0.354049,0.308351,0.205389
16.4,0.0314345,0.0325878,0.0703314,0.0771225,0.279687,0.22028,0.157174
16.4,0.018429,0.0177341,0.0554318,0.0450846,0.328383,0.149213,0.0803896
16.8,0.0578016,0.069299,0.11811,0.17668,0.308934,0.391283,0.285106
16.9,0.0762609,0.0846272,0.134915,0.202668,0.358041,0.365192,0.212866
16.9,0.0647322,0.0681051,0.115303,0.138322,0.290983,0.270791,0.184673
16.9,0.0554332,0.0519853,0.0912975,0.09915,0.29985,0.296317,0.213253
16.9,0.0401451,0.0439266,0.105969,0.120933,0.387846,0.30238,0.198757
16.9,0.06116379,0.05494628,0.09020461,0.07327361,0.45675784,0.16693506,0.09639463
17,0.0367167,0.035587,0.0727075,0.0791941,0.280141,0.215255,0.127905
17,0.0317968,0.0313625,0.0772422,0.0793863,0.373354,0.185784,0.107737
17.1,0.0672876,0.0774407,0.12811,0.181922,0.342229,0.350692,0.238916
17.1,0.0631001,0.0572232,0.0813456,0.0860367,0.253904,0.242489,0.15986
17.1,0.0381655,0.0398735,0.0883347,0.088151,0.374199,0.2021,0.118455
17.2,0.0391207,0.0427343,0.0825294,0.103361,0.238864,0.271076,0.188064
17.2,0.0280537,0.0258513,0.0666896,0.0600435,0.38834,0.184636,0.102163
17.3,0.0654916,0.0690595,0.12418,0.13037,0.410335,0.311466,0.202212
17.3,0.0467785,0.0470236,0.0967937,0.109518,0.349096,0.190604,0.116047
17.3,0.0356088,0.0284326,0.0569298,0.0459708,0.300197,0.205104,0.100821
17.4,0.0390622,0.0361928,0.0807404,0.0785912,0.44466901,0.193951,0.104099
17.5,0.0630505,0.0571686,0.0784372,0.087345,0.223959,0.228697,0.179318
17.7,0.0945383,0.107038,0.157616,0.220579,0.377224,0.409073,0.255118
17.8,0.0554331,0.0625009,0.105615,0.155909,0.301988,0.375737,0.264904
18.1,0.0523054,0.0645521,0.10688,0.162346,0.353012,0.422832,0.254875
18.3,0.0640957,0.0728472,0.11309,0.15299,0.259928,0.354086,0.255984
18.3,0.105726,0.119851,0.18233401,0.24681599,0.46980199,0.39725101,0.267322
18.3,0.0704802,0.0667802,0.0943466,0.106851,0.230135,0.232466,0.180778
18.3,0.0436252,0.0377204,0.062627,0.0620691,0.285755,0.188398,0.119202
18.5,0.0560314,0.0734265,0.1341,0.212534,0.354572,0.356461,0.224308
18.5,0.032302,0.0303925,0.0541771,0.0696793,0.141642,0.22875,0.176227
18.7,0.0172492,0.0123866,0.0415822,0.0257985,0.428328,0.130486,0.0596919
18.8,0.0159057,0.0071844,0.0182485,0.00733506,0.279056,0.0478708,0.0198231
18.9,0.0295506,0.0291821,0.0650637,0.0786015,0.304895,0.168596,0.0958366
19,0.0400635,0.0445222,0.0821031,0.106064,0.315485,0.22614,0.13912
19.1,0.0816072,0.0887259,0.140004,0.189276,0.348892,0.422641,0.298422
19.1,0.043564,0.0452547,0.0807178,0.0899024,0.263824,0.250469,0.174247
19.1,0.0136141,0.0145717,0.0530656,0.0627892,0.311324,0.170433,0.106924
19.3,0.0526564,0.0480365,0.0674286,0.0946885,0.194916,0.193671,0.136761
19.3,0.05718385,0.04484824,0.06862817,0.05605167,0.36243558,0.16352521,0.0763934
19.4,0.0465692,0.0644869,0.124689,0.195077,0.395526,0.446356,0.270673
19.4,0.0782171,0.0795122,0.125704,0.157565,0.327303,0.328783,0.229916
19.4,0.0262359,0.035705,0.101948,0.140229,0.343579,0.291636,0.211129
19.5,0.0467932,0.0541554,0.0953344,0.136435,0.247209,0.249172,0.17824
19.6,0.0337698,0.0403152,0.0821427,0.118712,0.30341,0.362715,0.224691
19.6,0.00997231,0.00558094,0.0295342,0.0166454,0.406123,0.124371,0.0584844
19.7,0.0435247,0.0455443,0.0963021,0.0995446,0.33761,0.188351,0.119351
19.8,0.0554413,0.0520597,0.080438,0.0918268,0.252684,0.268732,0.18352
19.8,0.0480176,0.0505826,0.0967482,0.119902,0.335379,0.206022,0.12959
19.8,0.0490962,0.0512113,0.098779,0.103098,0.351511,0.232343,0.141216
19.9,0.00431225,0.00081181,0.0314636,0.0154081,0.375128,0.1225,0.0566626
20,0.0255633,0.025085,0.050263,0.0681976,0.14621,0.253422,0.198596
20,0.0391147,0.0361299,0.0943224,0.0782066,0.534109,0.213206,0.10967
20.1,0.04889597,0.04254657,0.08124842,0.08318099,0.33516204,0.19010781,0.10594254
20.5,0.0173928,0.017454,0.0551821,0.0493747,0.3498,0.174158,0.100937
20.6,0.0476238,0.0576179,0.103301,0.144011,0.315906,0.355514,0.241477
20.7,0.0397527,0.045578,0.0797383,0.123698,0.250058,0.230714,0.139814
20.8,0.0694186,0.0769166,0.126458,0.169914,0.257868,0.315888,0.244831
20.8,0.05072599,0.04552567,0.07985864,0.07926014,0.31390694,0.16426113,0.09389589
20.9,0.0551378,0.0578212,0.102575,0.130574,0.308732,0.237275,0.155731
21.1,0.0895527,0.0827374,0.127725,0.129315,0.38073,0.251469,0.180241
21.1,0.0433148,0.0348221,0.058975,0.0474025,0.394078,0.167124,0.0916007
21.2,0.103185,0.127462,0.20784,0.303426,0.517775,0.490377,0.285953
21.3,0.08486,0.109403,0.189314,0.289595,0.541107,0.490724,0.275404
21.4,0.0721722,0.0930943,0.151917,0.223481,0.39715001,0.44549,0.290324
21.5,0.0799869,0.0803598,0.130175,0.145938,0.356962,0.31435,0.208706
21.5,0.016542,0.00628345,0.0220274,0.0020255,0.34624,0.0552063,0.0155191
21.6,0.11268,0.121932,0.197956,0.263254,0.461157,0.471101,0.369849
21.6,0.0709485,0.0731681,0.108915,0.141888,0.28093,0.278689,0.178386
21.6,0.0548716,0.0514662,0.08143,0.0896963,0.289381,0.224066,0.132523
21.8,0.04818248,0.04240134,0.0747048,0.07359031,0.32242572,0.20938295,0.13391009
21.9,0.0534821,0.0555735,0.0899776,0.123821,0.29869401,0.241557,0.147384
21.9,0.0413344,0.0436078,0.105623,0.132979,0.392513,0.206012,0.116069
22,0.0416395,0.0413062,0.0734186,0.0782211,0.29230899,0.26850399,0.15498599
22,0.02662475,0.02065474,0.05067123,0.03189868,0.42198411,0.18164706,0.08797063
22.1,0.0332638,0.03681,0.0928168,0.094335,0.384412,0.200674,0.114732
22.2,0.0521213,0.0750189,0.140106,0.214306,0.376745,0.424785,0.279079
22.8,0.0311827,0.0309657,0.0689511,0.097616,0.364693,0.186965,0.108146
23.1,0.0510428,0.0578642,0.108626,0.145425,0.286205,0.277944,0.209932
23.1,0.0622463,0.0623819,0.114923,0.132742,0.304298,0.291039,0.221916
23.3,0.054868,0.0700426,0.125766,0.16843,0.319138,0.355967,0.23154
23.3,0.0308986,0.026575,0.0496131,0.0473198,0.224099,0.216471,0.13843
23.5,0.101594,0.107122,0.16558,0.218048,0.368567,0.382234,0.288817
23.5,0.0575571,0.0605102,0.113135,0.139406,0.32486701,0.246857,0.16778199
23.5,0.0643979,0.0743438,0.142388,0.20222899,0.567693,0.33686599,0.182099
23.5,0.0380482,0.0449196,0.0861549,0.11524,0.353802,0.242639,0.135548
23.7,0.0126633,0.00890267,0.0468443,0.0271123,0.384695,0.172879,0.0894911
23.9,0.0384059,0.0341837,0.0553188,0.0648117,0.146437,0.212578,0.157232
23.9,0.0633287,0.0635518,0.114597,0.125435,0.365509,0.26553,0.17614
24,0.102317,0.117597,0.174947,0.238603,0.416096,0.454126,0.309442
24.15,0.0334299,0.0313124,0.0700116,0.0821038,0.300365,0.180967,0.111546
24.4,0.0662657,0.0603515,0.0952109,0.0976929,0.311081,0.181593,0.111842
24.5,0.0442082,0.0398928,0.0747196,0.0807592,0.310269,0.160445,0.0959174
24.6,0.0579057,0.0649026,0.1052,0.13158,0.290815,0.279865,0.180702
24.7,0.0883224,0.0846644,0.118772,0.119261,0.345845,0.262741,0.171555
24.8,0.0255444,0.0265536,0.0738619,0.0699252,0.499991,0.214206,0.108102
24.9,0.10202,0.103893,0.160703,0.167572,0.521829,0.345518,0.191124
24.9,0.0311288,0.0313024,0.0769586,0.0660505,0.415754,0.174021,0.102418
25.2,0.0253391,0.0210692,0.0511979,0.0516643,0.319048,0.129152,0.0656357
25.3,0.040733,0.0433788,0.0951488,0.113388,0.338363,0.256275,0.160222
25.4,0.0728396,0.0766657,0.115234,0.150391,0.348879,0.323986,0.182964
25.7,0.0258278,0.0249311,0.0576295,0.0505167,0.305219,0.244839,0.14746
26,0.059165,0.0622573,0.0983383,0.13622899,0.25644699,0.30071601,0.205081
26.2,0.0302969,0.0294162,0.0679173,0.0719991,0.309863,0.198133,0.119372
26.2,0.0369216,0.0332874,0.0662614,0.0633439,0.391123,0.201477,0.107278
26.5,0.0628871,0.0557557,0.0851346,0.0934483,0.399714,0.196253,0.108577
