c,B1,B2,B3,B4,B5,B6,B7
2.5,0.0667198,0.0709387,0.122556,0.141999,0.349582,0.309006,0.216917
2.7,0.0203034,0.0227335,0.0699629,0.0720994,0.403743,0.22544,0.128753
2.9,0.0664518,0.0685755,0.114607,0.131696,0.33605,0.234917,0.152932
3.2,0.0660767,0.0717953,0.110145,0.139914,0.332497,0.341019,0.216442
3.3,0.0899574,0.0932713,0.136233,0.164663,0.354007,0.36118,0.247354
3.9,0.0883115,0.0943493,0.134208,0.160497,0.306314,0.36031,0.268414
3.9,0.0612167,0.0663351,0.109511,0.143685,0.320012,0.29509,0.220943
4,0.0485275,0.0558722,0.0968247,0.136206,0.270312,0.326861,0.213081
4,0.036012,0.0354763,0.0701027,0.0822767,0.265198,0.230821,0.149804
4.2,0.044228,0.038101,0.0661572,0.0533874,0.391684,0.189778,0.117217
4.5,0.0576078,0.0516955,0.0916825,0.0745481,0.400848,0.227053,0.144963
4.6,0.0741452,0.0776787,0.129224,0.144182,0.473611,0.337852,0.235791
4.7,0.0570827,0.0615575,0.106747,0.140577,0.346993,0.278401,0.192015
4.8,0.0870973,0.109329,0.179103,0.256833,0.4289,0.425161,0.270385
4.9,0.0468833,0.050732,0.0806079,0.116896,0.218509,0.265653,0.182372
5,0.0674945,0.073471,0.128374,0.14919,0.344004,0.296369,0.200252
5,0.0344581,0.0432964,0.0959009,0.125425,0.295715,0.248839,0.166236
5,0.0689366,0.0722378,0.122803,0.145048,0.364486,0.323102,0.223132
5,0.0184919,0.00729781,0.0232768,0.0051327,0.493229,0.143397,0.0475404
5.1,0.0518459,0.0567895,0.0925004,0.128639,0.249556,0.24287,0.167079
5.1,0.0644085,0.0660589,0.11905,0.147197,0.305984,0.273666,0.201931
5.1,0.0579543,0.0599001,0.127059,0.158791,0.418372,0.340593,0.232498
5.2,0.0582399,0.0638057,0.0997846,0.138877,0.258898,0.284725,0.193979
5.2,0.0618603,0.0727711,0.120439,0.168465,0.331751,0.340897,0.210666
5.2,0.0433182,0.042978,0.0853869,0.0935457,0.347951,0.198075,0.108825
5.4,0.0245675,0.0283494,0.0774608,0.110387,0.307849,0.257007,0.18771
5.4,0.050766,0.0495808,0.0930689,0.106561,0.34785,0.214706,0.1443
5.5,0.105428,0.109737,0.136457,0.179993,0.313283,0.351865,0.258756
5.5,0.000764141,0.0058248,0.0561793,0.0860235,0.333893,0.275543,0.199387
5.6,0.11468,0.127837,0.215985,0.252487,0.429108,0.478988,0.377268
5.6,0.0418886,0.0445557,0.0793627,0.113274,0.227533,0.255701,0.178019
5.7,0.0694933,0.0780922,0.127503,0.181006,0.331616,0.281753,0.185641
5.7,0.0316374,0.0325997,0.078178,0.0875775,0.321604,0.209264,0.128333
5.8,0.064411,0.0735106,0.120235,0.171339,0.314659,0.359178,0.242601
5.8,0.0358839,0.0383979,0.0896975,0.104966,0.403253,0.250108,0.148154
5.8,0.0196775,0.0163061,0.0538183,0.048833,0.378257,0.141819,0.0804401
5.9,0.0634576,0.0698058,0.109876,0.148173,0.259977,0.296231,0.20918
5.9,0.127692,0.136507,0.210941,0.230685,0.462093,0.43817,0.319032
6,0.0461751,0.0567778,0.108868,0.180583,0.317465,0.346202,0.230226
6,0.0368849,0.0352534,0.0749542,0.068574,0.389254,0.18848,0.101701
